seed,alpha,groups,margin,truth,v_unif,v_star,ratio
117,0.05,21,0.013036753596736964,0.5628209561205584,10.804819964218005,5.856525831028646,1.8449197145127652
117,0.1,21,0.0169114934137658,0.7814104780602792,2.7012049910545013,1.4641314577571616,1.8449197145127652
117,0.2,21,0.055851244854641435,1.0984265054957252,5.993247522733734,2.980114716322847,2.011079469493973
118,0.05,21,0.02187647328937814,0.6783558895783763,6.193269572758518,3.4947287619967415,1.7721746076854168
118,0.1,21,0.0007556918229720544,0.8391779447891882,1.5483173931896295,0.8736821904991854,1.7721746076854168
118,0.2,21,0.04570266725067687,1.167699742837164,3.8025136033110623,2.213444850633112,1.7179165779637242
119,0.05,21,0.004507850004093983,0.9273281604261492,21.798910576928378,9.93352924315289,2.1944779185055716
119,0.1,21,0.033590991726654695,1.2136640802130745,5.4497276442320945,2.4833823107882225,2.1944779185055716
119,0.2,21,0.06640900827334531,1.5228545607899004,9.429771530242501,4.19693562138716,2.2468230111010845
120,0.05,21,0.02594294379777887,0.7206475669471184,6.396327212726013,2.8646029656799534,2.232884378519016
120,0.1,21,0.015626088273688873,0.9384542248420036,15.767062594116231,7.124239454319604,2.2131573054519196
120,0.2,21,0.0074393636794506945,1.219227112421002,3.9417656485290578,1.781059863579901,2.2131573054519196
121,0.05,21,0.0043395233397135885,0.40084670612679635,1.1111001066160437,0.43363815572247133,2.5622747720732133
121,0.1,21,0.045660476660286414,0.6787257363648302,5.273186958659674,2.5754263473053345,2.0475005873015952
121,0.2,21,0.03836141736134599,0.93526641158578,9.160377492468525,4.793337096730454,1.9110647358219055
122,0.05,21,0.01022732793584058,0.9933900569333532,12.478986569025338,7.898791524759543,1.5798602267079365
122,0.1,21,0.014590380899317829,1.2466950284666767,3.1197466422563345,1.9746978811898857,1.5798602267079365
122,0.2,21,0.051926817437749684,1.5868715619850438,5.3840547029494275,3.319729087220037,1.6218355659431445
123,0.05,21,0.0005946233994576916,0.9108136804382373,18.440099009408822,9.652945593455517,1.9103079812146462
123,0.1,21,0.050594623399457694,1.2054068402191187,4.6100247523522055,2.413236398363879,1.9103079812146462
123,0.2,21,0.041808949149844454,1.4572257929841705,8.232644844909148,4.5904671407381485,1.793422018392955
124,0.05,21,0.013069338502431069,0.5697893165567562,12.268330765112056,5.873680206021333,2.088695729899514
124,0.1,21,0.02470932499359646,0.7848946582783781,3.067082691278014,1.4684200515053332,2.088695729899514
124,0.2,21,0.07529067500640355,1.0806740166551978,6.224949710996268,3.160211210643504,1.9697891362548203
125,0.05,21,0.02081461363043398,0.8025616536063431,5.810752528659295,1.6300404650748248,3.5647903553072595
125,0.1,21,0.029185386369566024,1.0472077586510018,13.318705588422874,5.014421626094088,2.6560801188146774
125,0.2,21,0.013778212715519461,1.3080494111142995,15.790781626300832,6.923857329456086,2.2806335940982336
126,0.05,21,0.014079960873326927,1.0387063892909691,20.52053056181096,7.080878879537427,2.8980202755779247
126,0.1,21,0.00037533214766447,1.271229855383807,30.12865233753771,11.269284635200234,2.6735195101407943
126,0.2,21,0.027664174367307642,1.6356149276919036,7.532163084384427,2.8173211588000586,2.6735195101407943
127,0.05,21,0.006366409349595564,0.9827539078271951,13.613814548302598,7.952705648245723,1.7118469047456386
127,0.1,21,0.042706558321283505,1.2413769539135975,3.4034536370756494,1.9881764120614307,1.7118469047456386
127,0.2,21,0.0572934416787165,1.51392208115359,6.538802666851126,3.972640002088247,1.6459590255885146
128,0.05,21,0.0019143253280989106,0.4012799090424306,20.47634742600972,8.693541559999879,2.355351646355965
128,0.1,21,0.040646620792239074,0.7006399545212153,5.11908685650243,2.1733853899999698,2.355351646355965
128,0.2,21,0.05935337920776093,0.99870342528001,9.31438710427033,3.993498556335805,2.332387747954178
129,0.05,21,0.017832715829733628,0.8218828507472814,2.187696465597931,1.324026833864597,1.6523052325249612
129,0.1,21,0.032167284170266375,1.0717778462249725,7.442887523138694,4.493860171695672,1.6562347822963668
129,0.2,21,0.01273047903501029,1.317715120700012,11.230923512749879,6.749918825899673,1.6638605296491025
130,0.05,21,0.009894208652408955,0.8403413372831066,2.282565097751063,1.116233385242174,2.044881588321107
130,0.1,21,0.04010579134759105,1.1206996253795085,7.606506083593809,3.8347054208429143,1.9835959347098446
130,0.2,21,0.027744638097036645,1.379711407932346,11.597869678530603,6.044208643678821,1.9188400603377476
131,0.05,21,0.027714282203913435,0.8250499542927497,3.064037729700904,1.2719396113965615,2.4089490587816966
131,0.1,21,0.022285717796086568,1.0239535661268078,10.90069830281664,5.063546389928658,2.152779388868248
131,0.2,21,0.011385420474648578,1.2619767830634039,2.72517457570416,1.2658865974821645,2.152779388868248
132,0.05,21,0.024016477352280803,0.6978382193051917,6.704062074885246,3.17594408904985,2.110887939746731
132,0.1,21,0.006847597121284382,0.8831570952590178,16.60250785491785,8.008431659837276,2.0731284925836775
132,0.2,21,0.029520677456217503,1.1915785476295089,4.150626963729462,2.002107914959319,2.0731284925836775
133,0.05,21,0.019097450530064508,0.3543024453731808,1.3759407047983536,0.8625489789778008,1.5952029836369046
133,0.1,21,0.030902549469935495,0.5816639700362678,6.232670026566724,3.882181757724003,1.6054554926920102
133,0.2,21,0.009282764771704616,0.8140388969473955,10.268577401244796,6.306537923421206,1.628243186029117
134,0.05,21,0.021838137403597482,1.240780476008944,7.3196223127985265,2.789704612478628,2.623798333363727
134,0.1,21,0.02816186259640252,1.5111995509864846,15.608480542041272,6.106136817747551,2.5561956778752584
134,0.2,21,0.018617687881280237,1.8021439951964429,18.508041942590065,7.641943728860327,2.4219024111226006
135,0.05,21,0.02769912534050496,0.2769912534050496,2.9875794803718647,1.716151069566606,1.7408604250244375
135,0.1,21,0.02223844504898677,0.4996878519474587,8.301570132517549,5.246015650262688,1.5824524145485264
135,0.2,21,0.008758706702312158,0.7498439259737293,2.075392533129387,1.311503912565672,1.5824524145485264
136,0.05,21,0.005194196297722636,0.8829518930253071,1.759816013770982,0.734967477112688,2.3944134517140823
136,0.1,21,0.044805803702277366,1.1655049650240403,6.506644179009828,3.1736107770562607,2.0502338302005585
136,0.2,21,0.02762207087519808,1.4018076597000153,10.50471665744887,5.549652567116505,1.8928602341149663
