case,budget_per_block,replication,method,truth,error
4,150,19,occ_plus_uniform,1.1762926826312994,-0.0797507913723452
4,150,19,occ_plus_mean,1.1762926826312994,-0.059676548880338354
4,150,19,oracle_tail,1.1762926826312994,-0.034575472386837
4,150,19,complete_rollout,1.1762926826312994,-0.0018135159646326393
4,150,20,uniform,1.1762926826312994,-0.007899396684018845
4,150,20,learned_occupancy,1.1762926826312994,-0.006766068564593164
4,150,20,learned_mean,1.1762926826312994,0.004649850183456872
4,150,20,tis,1.1762926826312994,0.022791666049827075
4,150,20,tis_anchored,1.1762926826312994,0.01120276792544872
4,150,20,occ_plus_uniform,1.1762926826312994,-0.0024269997011876487
4,150,20,occ_plus_mean,1.1762926826312994,-0.009628471439372399
4,150,20,oracle_tail,1.1762926826312994,0.010497713207498593
4,150,20,complete_rollout,1.1762926826312994,-0.09946976596463264
4,150,21,uniform,1.1762926826312994,-0.027340553986957783
4,150,21,learned_occupancy,1.1762926826312994,-0.019995533266077947
4,150,21,learned_mean,1.1762926826312994,-0.010051612918506203
4,150,21,tis,1.1762926826312994,-0.021372354541664862
4,150,21,tis_anchored,1.1762926826312994,-0.01922642361923077
4,150,21,occ_plus_uniform,1.1762926826312994,-0.018336390242103873
4,150,21,occ_plus_mean,1.1762926826312994,-0.016986786744497273
4,150,21,oracle_tail,1.1762926826312994,0.001422074754211522
4,150,21,complete_rollout,1.1762926826312994,-0.04738643263129938
4,150,22,uniform,1.1762926826312994,0.019497873139682653
4,150,22,learned_occupancy,1.1762926826312994,-0.008038253407125717
4,150,22,learned_mean,1.1762926826312994,-0.016295524627775393
4,150,22,tis,1.1762926826312994,0.014195183233247866
4,150,22,tis_anchored,1.1762926826312994,0.007377843839936782
4,150,22,occ_plus_uniform,1.1762926826312994,0.004181622533712792
4,150,22,occ_plus_mean,1.1762926826312994,-0.023648804600732598
4,150,22,oracle_tail,1.1762926826312994,0.006667023335972466
4,150,22,complete_rollout,1.1762926826312994,-0.02785518263129938
4,150,23,uniform,1.1762926826312994,-0.0019325721525849104
4,150,23,learned_occupancy,1.1762926826312994,0.01021892613816
4,150,23,learned_mean,1.1762926826312994,0.009855102215720946
4,150,23,tis,1.1762926826312994,-0.02160476528832711
4,150,23,tis_anchored,1.1762926826312994,-0.03394858482029872
4,150,23,occ_plus_uniform,1.1762926826312994,0.014295510464787942
4,150,23,occ_plus_mean,1.1762926826312994,0.01343651359621334
4,150,23,oracle_tail,1.1762926826312994,-0.002223680343951484
4,150,23,complete_rollout,1.1762926826312994,0.0437594007020341
4,150,24,uniform,1.1762926826312994,-0.009639052560575179
4,150,24,learned_occupancy,1.1762926826312994,0.0006455305994521598
4,150,24,learned_mean,1.1762926826312994,-0.0008255576571303269
4,150,24,tis,1.1762926826312994,-0.06819917990023128
4,150,24,tis_anchored,1.1762926826312994,-0.02319168486227352
4,150,24,occ_plus_uniform,1.1762926826312994,0.0028319797515423684
4,150,24,occ_plus_mean,1.1762926826312994,0.003446975582242162
4,150,24,oracle_tail,1.1762926826312994,-0.05344706794382481
4,150,24,complete_rollout,1.1762926826312994,0.03073856736870062
4,150,25,uniform,1.1762926826312994,-0.03371509935307171
4,150,25,learned_occupancy,1.1762926826312994,-0.004262967142416363
4,150,25,learned_mean,1.1762926826312994,-0.012507173068953215
4,150,25,tis,1.1762926826312994,-0.025751278548287404
4,150,25,tis_anchored,1.1762926826312994,0.0003909761025870928
4,150,25,occ_plus_uniform,1.1762926826312994,-0.02830603153517619
4,150,25,occ_plus_mean,1.1762926826312994,-0.003271723255402703
4,150,25,oracle_tail,1.1762926826312994,-0.024017665782188002
4,150,25,complete_rollout,1.1762926826312994,0.0632906507020341
4,150,26,uniform,1.1762926826312994,0.024149786057654943
4,150,26,learned_occupancy,1.1762926826312994,0.03622104311013863
4,150,26,learned_mean,1.1762926826312994,0.021915700504023805
4,150,26,tis,1.1762926826312994,0.007313871187012877
4,150,26,tis_anchored,1.1762926826312994,0.012125410162471928
4,150,26,occ_plus_uniform,1.1762926826312994,0.03777209480135668
4,150,26,occ_plus_mean,1.1762926826312994,0.03871852582625923
4,150,26,oracle_tail,1.1762926826312994,0.0004990771954433981
4,150,26,complete_rollout,1.1762926826312994,0.004696900702034101
4,150,27,uniform,1.1762926826312994,-0.03209540786921061
4,150,27,learned_occupancy,1.1762926826312994,0.0013062318523584526
4,150,27,learned_mean,1.1762926826312994,-0.014474954408756346
4,150,27,tis,1.1762926826312994,0.005790808233112399
4,150,27,tis_anchored,1.1762926826312994,-0.0038710029480961694
4,150,27,occ_plus_uniform,1.1762926826312994,-0.018749916778589393
4,150,27,occ_plus_mean,1.1762926826312994,-0.0011298914210124966
4,150,27,oracle_tail,1.1762926826312994,-0.005798515270263316
4,150,27,complete_rollout,1.1762926826312994,0.03724898403536736
4,150,28,uniform,1.1762926826312994,-0.006302036794462174
4,150,28,learned_occupancy,1.1762926826312994,-0.0233133697588237
4,150,28,learned_mean,1.1762926826312994,-0.011986050169693119
4,150,28,tis,1.1762926826312994,0.0452150592460292
4,150,28,tis_anchored,1.1762926826312994,0.009695219484767259
4,150,28,occ_plus_uniform,1.1762926826312994,-0.020220298376136592
4,150,28,occ_plus_mean,1.1762926826312994,-0.02467004232724057
4,150,28,oracle_tail,1.1762926826312994,0.015588610097626354
4,150,28,complete_rollout,1.1762926826312994,-0.0343655992979659
4,150,29,uniform,1.1762926826312994,0.027663573418520437
4,150,29,learned_occupancy,1.1762926826312994,0.03050241697215239
4,150,29,learned_mean,1.1762926826312994,0.031109259925442556
4,150,29,tis,1.1762926826312994,0.04064089538194726
4,150,29,tis_anchored,1.1762926826312994,0.02246905582372194
4,150,29,occ_plus_uniform,1.1762926826312994,0.018997166729443737
4,150,29,occ_plus_mean,1.1762926826312994,0.030930237070657673
4,150,29,oracle_tail,1.1762926826312994,0.04047723135203807
4,150,29,complete_rollout,1.1762926826312994,-0.02134476596463264
4,150,30,uniform,1.1762926826312994,0.011033454944269883
4,150,30,learned_occupancy,1.1762926826312994,-0.012139303922499067
4,150,30,learned_mean,1.1762926826312994,0.00035824390960437213
4,150,30,tis,1.1762926826312994,0.004683833803889925
4,150,30,tis_anchored,1.1762926826312994,0.008623056524798667
4,150,30,occ_plus_uniform,1.1762926826312994,-0.009768174191358225
4,150,30,occ_plus_mean,1.1762926826312994,-0.002465300167712847
4,150,30,oracle_tail,1.1762926826312994,-0.006534958908738675
4,150,30,complete_rollout,1.1762926826312994,0.01771773403536736
4,150,31,uniform,1.1762926826312994,0.010587041349741755
4,150,31,learned_occupancy,1.1762926826312994,0.01746741859978518
4,150,31,learned_mean,1.1762926826312994,0.008749508545994988
4,150,31,tis,1.1762926826312994,-0.002547695168979569
4,150,31,tis_anchored,1.1762926826312994,0.0017682540196479746
4,150,31,occ_plus_uniform,1.1762926826312994,0.00017850015518061646
4,150,31,occ_plus_mean,1.1762926826312994,0.013661505097764648
4,150,31,oracle_tail,1.1762926826312994,-0.0027297641778614157
4,150,31,complete_rollout,1.1762926826312994,0.01771773403536736
4,150,32,uniform,1.1762926826312994,-0.019265998640797033
4,150,32,learned_occupancy,1.1762926826312994,0.004696661025975324
4,150,32,learned_mean,1.1762926826312994,0.003796946372145227
4,150,32,tis,1.1762926826312994,-0.012608283577302926
4,150,32,tis_anchored,1.1762926826312994,-0.008350990247752543
4,150,32,occ_plus_uniform,1.1762926826312994,-0.013029351144553614
4,150,32,occ_plus_mean,1.1762926826312994,-0.004637740706539439
4,150,32,oracle_tail,1.1762926826312994,-0.010621519282311365
4,150,32,complete_rollout,1.1762926826312994,0.01120731736870062
4,150,33,uniform,1.1762926826312994,-0.010178107727361718
4,150,33,learned_occupancy,1.1762926826312994,0.012840667099426328
4,150,33,learned_mean,1.1762926826312994,-0.006550643832510916
4,150,33,tis,1.1762926826312994,-0.015189142420474422
4,150,33,tis_anchored,1.1762926826312994,0.006251962254786525
4,150,33,occ_plus_uniform,1.1762926826312994,0.005576936312572389
4,150,33,occ_plus_mean,1.1762926826312994,0.007745142117113302
4,150,33,oracle_tail,1.1762926826312994,-0.016876189217808424
