environment,alpha,budget_per_group,budget_unit,budget_value,total_budget,comparison,replications,mean_difference,se,ci95_low,ci95_high
rainy_taxi,0.1,100.0,per_group,100,3700,occupancy-minus-tis,300,-0.0005672012075795701,0.00015322124489218706,-0.0008675148475682567,-0.00026688756759088347
rainy_taxi,0.1,100.0,per_group,100,3700,oracle_no_cov-minus-tis,300,-0.0007885758977267726,0.00014659928709638556,-0.0010759105004356883,-0.0005012412950178569
rainy_taxi,0.1,100.0,per_group,100,3700,oracle_tail-minus-tis,300,-0.0008146657923709934,0.00014564306761137813,-0.0011001262048892944,-0.0005292053798526923
rainy_taxi,0.1,100.0,per_group,100,3700,tail_no_cov-minus-tis,300,9.512919120369394e-05,5.6165076440974314e-05,-1.4954358620615713e-05,0.00020521274102800358
rainy_taxi,0.1,100.0,per_group,100,3700,uniform-minus-tis,300,0.00020401910849918766,0.0001739365128582912,-0.00013689645670306307,0.0005449346737014383
rainy_taxi,0.1,200.0,per_group,200,7400,learned_mean-minus-tis,300,-3.751734238942998e-05,1.8935181597778675e-05,-7.463029832107618e-05,-4.0438645778377504e-07
rainy_taxi,0.1,200.0,per_group,200,7400,mc_ucb_frozen-minus-tis,300,0.00025388933060078035,7.990184781411852e-05,9.728170888510806e-05,0.00041049695231645263
rainy_taxi,0.1,200.0,per_group,200,7400,mean_influence-minus-tis,300,-0.00018345563740436555,3.674659288784163e-05,-0.0002554789594645351,-0.00011143231534419596
rainy_taxi,0.1,200.0,per_group,200,7400,occupancy-minus-tis,300,-6.593305100377012e-05,3.818167715401851e-05,-0.0001407691382256464,8.90303621810617e-06
rainy_taxi,0.1,200.0,per_group,200,7400,oracle_no_cov-minus-tis,300,-0.00021326205944558664,3.778193611178543e-05,-0.0002873146542246861,-0.0001392094646664872
rainy_taxi,0.1,200.0,per_group,200,7400,oracle_tail-minus-tis,300,-0.00021174699365036909,3.5962584716822675e-05,-0.00028223365969534155,-0.00014126032760539663
rainy_taxi,0.1,200.0,per_group,200,7400,tail_no_cov-minus-tis,300,1.8443290137675732e-05,2.461432318731874e-05,-2.9800783309468998e-05,6.668736358482046e-05
rainy_taxi,0.1,200.0,per_group,200,7400,uniform-minus-tis,300,0.00018970820749239004,5.83602219062498e-05,7.532217255614043e-05,0.00030409424242863964
rainy_taxi,0.1,400.0,per_group,400,14800,learned_mean-minus-tis,300,3.117533218697863e-06,8.767159447251657e-06,-1.4066099297915385e-05,2.030116573531111e-05
rainy_taxi,0.1,400.0,per_group,400,14800,mc_ucb_frozen-minus-tis,300,0.00016826229822390523,3.542833769948693e-05,9.882275633291085e-05,0.00023770184011489962
rainy_taxi,0.1,400.0,per_group,400,14800,mean_influence-minus-tis,300,-3.784491461867054e-05,1.0899198882449941e-05,-5.920734442827242e-05,-1.6482484809068656e-05
rainy_taxi,0.1,400.0,per_group,400,14800,occupancy-minus-tis,300,2.1603298891936784e-05,1.2627671957025427e-05,-3.1469381438330513e-06,4.635353592770662e-05
rainy_taxi,0.1,400.0,per_group,400,14800,oracle_no_cov-minus-tis,300,-3.341357886554821e-05,1.1973693402078254e-05,-5.688201793362158e-05,-9.945139797474832e-06
rainy_taxi,0.1,400.0,per_group,400,14800,oracle_tail-minus-tis,300,-4.401404074703306e-05,1.0970221265529214e-05,-6.551567442747032e-05,-2.2512407066595804e-05
rainy_taxi,0.1,400.0,per_group,400,14800,tail_no_cov-minus-tis,300,2.4130822348680296e-06,9.80366159308627e-06,-1.6802094487581058e-05,2.1628258957317117e-05
rainy_taxi,0.1,400.0,per_group,400,14800,uniform-minus-tis,300,0.00013587926449437802,2.887744133642247e-05,7.927947947498998e-05,0.00019247904951376606
