t,budget_per_kernel,replication,method,truth,error
0.0,25,40,tis_anchored,0.3,-0.09999999999999998
0.0,25,40,oracle_tail,0.3,-0.033333333333333326
0.0,25,40,complete_rollout,0.3,0.019999999999999962
0.0,25,41,uniform,0.3,-0.020000000000000018
0.0,25,41,learned_occupancy,0.3,-0.07777777777777778
0.0,25,41,learned_mean,0.3,-0.07407407407407407
0.0,25,41,tis,0.3,-0.07777777777777778
0.0,25,41,tis_anchored,0.3,-0.07777777777777778
0.0,25,41,oracle_tail,0.3,-0.020000000000000018
0.0,25,41,complete_rollout,0.3,-0.006666666666666654
0.0,25,42,uniform,0.3,-0.006666666666666654
0.0,25,42,learned_occupancy,0.3,0.033333333333333326
0.0,25,42,learned_mean,0.3,0.033333333333333326
0.0,25,42,tis,0.3,0.033333333333333326
0.0,25,42,tis_anchored,0.3,0.033333333333333326
0.0,25,42,oracle_tail,0.3,-0.006666666666666654
0.0,25,42,complete_rollout,0.3,0.006666666666666654
0.0,25,43,uniform,0.3,-0.020000000000000018
0.0,25,43,learned_occupancy,0.3,-0.003703703703703709
0.0,25,43,learned_mean,0.3,-0.003703703703703709
0.0,25,43,tis,0.3,0.017460317460317454
0.0,25,43,tis_anchored,0.3,-0.04444444444444445
0.0,25,43,oracle_tail,0.3,-0.020000000000000018
0.0,25,43,complete_rollout,0.3,0.03333333333333338
0.0,25,44,uniform,0.3,-0.006666666666666654
0.0,25,44,learned_occupancy,0.3,-0.040740740740740744
0.0,25,44,learned_mean,0.3,-0.040740740740740744
0.0,25,44,tis,0.3,0.013725490196078438
0.0,25,44,tis_anchored,0.3,0.007692307692307665
0.0,25,44,oracle_tail,0.3,-0.006666666666666654
0.0,25,44,complete_rollout,0.3,-0.020000000000000018
0.0,25,45,uniform,0.3,0.033333333333333326
0.0,25,45,learned_occupancy,0.3,0.033333333333333326
0.0,25,45,learned_mean,0.3,0.033333333333333326
0.0,25,45,tis,0.3,0.033333333333333326
0.0,25,45,tis_anchored,0.3,0.033333333333333326
0.0,25,45,oracle_tail,0.3,0.033333333333333326
0.0,25,45,complete_rollout,0.3,0.019999999999999962
0.0,25,46,uniform,0.3,0.020000000000000018
0.0,25,46,learned_occupancy,0.3,0.033333333333333326
0.0,25,46,learned_mean,0.3,0.033333333333333326
0.0,25,46,tis,0.3,0.033333333333333326
0.0,25,46,tis_anchored,0.3,0.033333333333333326
0.0,25,46,oracle_tail,0.3,0.020000000000000018
0.0,25,46,complete_rollout,0.3,-0.020000000000000018
0.0,25,47,uniform,0.3,0.033333333333333326
0.0,25,47,learned_occupancy,0.3,0.033333333333333326
0.0,25,47,learned_mean,0.3,0.033333333333333326
0.0,25,47,tis,0.3,0.033333333333333326
0.0,25,47,tis_anchored,0.3,0.033333333333333326
0.0,25,47,oracle_tail,0.3,0.033333333333333326
0.0,25,47,complete_rollout,0.3,-0.033333333333333326
0.0,25,48,uniform,0.3,0.020000000000000018
0.0,25,48,learned_occupancy,0.3,-0.003703703703703709
0.0,25,48,learned_mean,0.3,0.033333333333333326
0.0,25,48,tis,0.3,0.033333333333333326
0.0,25,48,tis_anchored,0.3,0.033333333333333326
0.0,25,48,oracle_tail,0.3,0.020000000000000018
0.0,25,48,complete_rollout,0.3,-0.020000000000000018
0.0,25,49,uniform,0.3,-0.006666666666666654
0.0,25,49,learned_occupancy,0.3,0.033333333333333326
0.0,25,49,learned_mean,0.3,0.033333333333333326
0.0,25,49,tis,0.3,0.017460317460317454
0.0,25,49,tis_anchored,0.3,0.033333333333333326
0.0,25,49,oracle_tail,0.3,-0.006666666666666654
0.0,25,49,complete_rollout,0.3,-0.006666666666666654
0.0,25,50,uniform,0.3,-0.04666666666666669
0.0,25,50,learned_occupancy,0.3,-0.040740740740740744
0.0,25,50,learned_mean,0.3,-0.07407407407407407
0.0,25,50,tis,0.3,0.0222222222222222
0.0,25,50,tis_anchored,0.3,-0.08650793650793653
0.0,25,50,oracle_tail,0.3,-0.04666666666666669
0.0,25,50,complete_rollout,0.3,-0.006666666666666654
0.0,25,51,uniform,0.3,-0.006666666666666654
0.0,25,51,learned_occupancy,0.3,-0.003703703703703709
0.0,25,51,learned_mean,0.3,-0.003703703703703709
0.0,25,51,tis,0.3,-0.05595238095238095
0.0,25,51,tis_anchored,0.3,-0.0243867243867244
0.0,25,51,oracle_tail,0.3,-0.006666666666666654
0.0,25,51,complete_rollout,0.3,-0.006666666666666654
0.0,25,52,uniform,0.3,0.033333333333333326
0.0,25,52,learned_occupancy,0.3,0.033333333333333326
0.0,25,52,learned_mean,0.3,0.033333333333333326
0.0,25,52,tis,0.3,0.033333333333333326
0.0,25,52,tis_anchored,0.3,0.033333333333333326
0.0,25,52,oracle_tail,0.3,0.033333333333333326
0.0,25,52,complete_rollout,0.3,0.019999999999999962
0.0,25,53,uniform,0.3,-0.006666666666666654
0.0,25,53,learned_occupancy,0.3,0.033333333333333326
0.0,25,53,learned_mean,0.3,0.033333333333333326
0.0,25,53,tis,0.3,0.033333333333333326
0.0,25,53,tis_anchored,0.3,0.033333333333333326
0.0,25,53,oracle_tail,0.3,-0.006666666666666654
0.0,25,53,complete_rollout,0.3,-0.006666666666666654
0.0,25,54,uniform,0.3,0.033333333333333326
0.0,25,54,learned_occupancy,0.3,0.033333333333333326
0.0,25,54,learned_mean,0.3,0.033333333333333326
0.0,25,54,tis,0.3,0.027380952380952395
0.0,25,54,tis_anchored,0.3,0.033333333333333326
0.0,25,54,oracle_tail,0.3,0.033333333333333326
0.0,25,54,complete_rollout,0.3,0.03333333333333338
0.0,25,55,uniform,0.3,0.006666666666666654
0.0,25,55,learned_occupancy,0.3,-0.040740740740740744
0.0,25,55,learned_mean,0.3,-0.037037037037037035
0.0,25,55,tis,0.3,-0.040740740740740744
0.0,25,55,tis_anchored,0.3,-0.040740740740740744
0.0,25,55,oracle_tail,0.3,0.006666666666666654
0.0,25,55,complete_rollout,0.3,0.019999999999999962
0.0,25,56,uniform,0.3,-0.06
0.0,25,56,learned_occupancy,0.3,-0.07777777777777778
0.0,25,56,learned_mean,0.3,-0.07407407407407407
0.0,25,56,tis,0.3,0.0222222222222222
0.0,25,56,tis_anchored,0.3,-0.03888888888888892
0.0,25,56,oracle_tail,0.3,-0.06
0.0,25,56,complete_rollout,0.3,0.006666666666666654
0.0,25,57,uniform,0.3,-0.006666666666666654
0.0,25,57,learned_occupancy,0.3,-0.040740740740740744
0.0,25,57,learned_mean,0.3,-0.003703703703703709
0.0,25,57,tis,0.3,0.033333333333333326
0.0,25,57,tis_anchored,0.3,0.033333333333333326
0.0,25,57,oracle_tail,0.3,-0.006666666666666654
0.0,25,57,complete_rollout,0.3,-0.033333333333333326
0.0,25,58,uniform,0.3,0.020000000000000018
0.0,25,58,learned_occupancy,0.3,-0.003703703703703709
0.0,25,58,learned_mean,0.3,-0.003703703703703709
0.0,25,58,tis,0.3,-0.04999999999999999
0.0,25,58,tis_anchored,0.3,-0.0222222222222222
0.0,25,58,oracle_tail,0.3,0.020000000000000018
0.0,25,58,complete_rollout,0.3,0.019999999999999962
0.0,25,59,uniform,0.3,-0.006666666666666654
0.0,25,59,learned_occupancy,0.3,-0.003703703703703709
0.0,25,59,learned_mean,0.3,-0.003703703703703709
0.0,25,59,tis,0.3,0.033333333333333326
0.0,25,59,tis_anchored,0.3,-0.01428571428571429
0.0,25,59,oracle_tail,0.3,-0.006666666666666654
0.0,25,59,complete_rollout,0.3,0.019999999999999962
0.0,25,60,uniform,0.3,-0.006666666666666654
0.0,25,60,learned_occupancy,0.3,-0.003703703703703709
0.0,25,60,learned_mean,0.3,0.0
0.0,25,60,tis,0.3,0.027380952380952395
0.0,25,60,tis_anchored,0.3,0.023232323232323215
0.0,25,60,oracle_tail,0.3,-0.006666666666666654
0.0,25,60,complete_rollout,0.3,-0.020000000000000018
0.0,25,61,uniform,0.3,-0.006666666666666654
0.0,25,61,learned_occupancy,0.3,-0.040740740740740744
0.0,25,61,learned_mean,0.3,-0.040740740740740744
0.0,25,61,tis,0.3,-0.04999999999999999
0.0,25,61,tis_anchored,0.3,-0.06984126984126987
0.0,25,61,oracle_tail,0.3,-0.006666666666666654
0.0,25,61,complete_rollout,0.3,0.019999999999999962
0.0,25,62,uniform,0.3,-0.006666666666666654
0.0,25,62,learned_occupancy,0.3,-0.07777777777777778
0.0,25,62,learned_mean,0.3,-0.08835978835978836
0.0,25,62,tis,0.3,0.033333333333333326
0.0,25,62,tis_anchored,0.3,-0.11746031746031749
0.0,25,62,oracle_tail,0.3,-0.006666666666666654
0.0,25,62,complete_rollout,0.3,0.019999999999999962
0.0,25,63,uniform,0.3,0.020000000000000018
0.0,25,63,learned_occupancy,0.3,0.033333333333333326
0.0,25,63,learned_mean,0.3,0.033333333333333326
0.0,25,63,tis,0.3,0.033333333333333326
0.0,25,63,tis_anchored,0.3,0.033333333333333326
0.0,25,63,oracle_tail,0.3,0.020000000000000018
0.0,25,63,complete_rollout,0.3,0.019999999999999962
0.0,25,64,uniform,0.3,0.020000000000000018
0.0,25,64,learned_occupancy,0.3,-0.003703703703703709
0.0,25,64,learned_mean,0.3,-0.003703703703703709
0.0,25,64,tis,0.3,-0.04999999999999999
0.0,25,64,tis_anchored,0.3,-0.0222222222222222
0.0,25,64,oracle_tail,0.3,0.020000000000000018
0.0,25,64,complete_rollout,0.3,0.019999999999999962
0.0,25,65,uniform,0.3,0.020000000000000018
0.0,25,65,learned_occupancy,0.3,0.033333333333333326
0.0,25,65,learned_mean,0.3,0.033333333333333326
0.0,25,65,tis,0.3,0.033333333333333326
0.0,25,65,tis_anchored,0.3,0.033333333333333326
0.0,25,65,oracle_tail,0.3,0.020000000000000018
0.0,25,65,complete_rollout,0.3,0.019999999999999962
0.0,25,66,uniform,0.3,0.006666666666666654
0.0,25,66,learned_occupancy,0.3,0.033333333333333326
0.0,25,66,learned_mean,0.3,0.033333333333333326
0.0,25,66,tis,0.3,0.027380952380952395
